Keyword,Position,Word,Frequency,Log-Likelihood,Significance
Significance thresholds:,,,,,
,,,,LL >= 15.13,p < 0.0001
,,,,LL >= 10.83,p < 0.001
,,,,LL >= 6.63,p < 0.01
,,,,LL >= 3.84,p < 0.05
,,,,,
,,,,,
WORD: daulat,,,,,
allah,Right,syah,12,23.27,p < 0.0001
allah,Right,jebat,12,1.18,not significant
allah,Right,sang,11,6.55,p < 0.05
allah,Right,alam,11,15.37,p < 0.0001
allah,Right,jika,11,10.3,p < 0.01
allah,Right,berkat,11,87.88,p < 0.0001
allah,Right,lalu,11,0,not significant
allah,Right,tuanku,10,0,not significant
allah,Right,aku,10,13.92,p < 0.001
allah,Right,lagi,10,5.72,p < 0.05
allah,Right,si,10,14.55,p < 0.001
allah,Right,adapun,9,3.82,not significant
allah,Right,mati,9,15.43,p < 0.0001
allah,Right,paduka,9,6.79,p < 0.01
,,,,,
WORD: khabar,,,,,
khabar,Left,maka,179,31.16,p < 0.0001
khabar,Left,pun,91,0,not significant
khabar,Left,laksamana,69,30.72,p < 0.0001
khabar,Left,raja,66,59.2,p < 0.0001
khabar,Left,baginda,58,123.48,p < 0.0001
khabar,Left,hendak,58,151.12,p < 0.0001
khabar,Left,menengar,51,167.64,p < 0.0001
khabar,Left,titah,50,110.4,p < 0.0001
khabar,Left,kita,49,83.48,p < 0.0001
khabar,Left,apa,45,198.88,p < 0.0001
khabar,Left,bendahara,40,43.48,p < 0.0001
khabar,Left,datang,38,63.75,p < 0.0001
khabar,Left,orang,37,18.38,p < 0.0001
khabar,Left,kata,32,25.31,p < 0.0001
khabar,Left,tuanku,32,40.99,p < 0.0001
khabar,Left,patik,32,27.09,p < 0.0001
khabar,Left,kerana,31,53.09,p < 0.0001
khabar,Left,sembah,27,22.14,p < 0.0001
khabar,Left,hamba,26,46.88,p < 0.0001
khabar,Left,hai,26,56.9,p < 0.0001
khabar,Left,melaka,26,30.22,p < 0.0001
khabar,Left,lalu,24,9.4,p < 0.01
khabar,Left,segala,21,0,not significant
khabar,Left,ia,21,19.44,p < 0.0001
khabar,Left,setelah,20,0,not significant
khabar,Left,mengadap,20,39.6,p < 0.0001
khabar,Left,mari,20,82.2,p < 0.0001
khabar,Left,patih,20,14.61,p < 0.001
khabar,Left,tiada,18,0,not significant
khabar,Left,betara,18,18.31,p < 0.0001
khabar,Left,duli,17,13.73,p < 0.001
khabar,Left,adapun,17,25.95,p < 0.0001
khabar,Left,temenggung,17,38.17,p < 0.0001
khabar,Left,terlalu,16,7.5,p < 0.01
khabar,Left,tuah,16,0,not significant
khabar,Left,melihat,16,26.65,p < 0.0001
khabar,Left,hang,15,0,not significant
khabar,Left,khabar,15,58.93,p < 0.0001
khabar,Left,duduk,14,11.1,p < 0.001
khabar,Left,dengar,14,75.83,p < 0.0001
khabar,Left,seri,14,10.9,p < 0.001
khabar,Left,negeri,14,13.97,p < 0.001
khabar,Left,tun,14,0,not significant
khabar,Left,membawa,14,37.53,p < 0.0001
khabar,Left,seperti,13,12.21,p < 0.001
khabar,Left,masuk,13,12.76,p < 0.001
khabar,Left,daulat,13,13.15,p < 0.001
khabar,Left,gajah,13,4.68,p < 0.05
khabar,Left,syah,12,21.23,p < 0.0001
khabar,Left,alam,12,16.81,p < 0.0001
khabar,Right,maka,180,46.86,p < 0.0001
khabar,Right,pun,104,2.66,not significant
khabar,Right,raja,72,82.52,p < 0.0001
khabar,Right,laksamana,62,18.99,p < 0.0001
khabar,Right,orang,61,95.88,p < 0.0001
khabar,Right,tuanku,57,143.1,p < 0.0001
khabar,Right,bendahara,53,91.42,p < 0.0001
khabar,Right,sembah,48,98.2,p < 0.0001
khabar,Right,patik,42,61.56,p < 0.0001
khabar,Right,datang,39,70.38,p < 0.0001
khabar,Right,kita,36,41.84,p < 0.0001
khabar,Right,hendak,33,51.24,p < 0.0001
khabar,Right,daulat,30,82.78,p < 0.0001
khabar,Right,segala,24,0,not significant
khabar,Right,kata,24,6.97,p < 0.01
khabar,Right,paduka,24,62.91,p < 0.0001
khabar,Right,melaka,24,25.85,p < 0.0001
khabar,Right,duli,23,34.21,p < 0.0001
khabar,Right,setelah,23,0,not significant
khabar,Right,benua,20,71.08,p < 0.0001
khabar,Right,baginda,19,0,not significant
khabar,Right,tiada,19,1.05,not significant
khabar,Right,ia,19,15.22,p < 0.0001
khabar,Right,tun,19,0,not significant
khabar,Right,lalu,18,0,not significant
khabar,Right,negeri,17,24.84,p < 0.0001
khabar,Right,hang,17,0,not significant
khabar,Right,terlalu,16,8.7,p < 0.01
khabar,Right,bawah,16,37.11,p < 0.0001
khabar,Right,khabar,16,66.12,p < 0.0001
khabar,Right,temenggung,15,31.05,p < 0.0001
khabar,Right,kerana,15,5.04,p < 0.05
khabar,Right,kepada,15,12.7,p < 0.001
khabar,Right,adapun,14,16.99,p < 0.0001
khabar,Right,betara,14,8.25,p < 0.01
khabar,Right,baik,14,21.54,p < 0.0001
khabar,Right,terengganu,14,47.16,p < 0.0001
khabar,Right,duduk,13,9.36,p < 0.01
khabar,Right,titah,13,0,not significant
khabar,Right,dipertuan,13,20.4,p < 0.0001
khabar,Right,menengar,13,8.17,p < 0.01
khabar,Right,sekarang,13,35.25,p < 0.0001
khabar,Right,ayahanda,13,36.03,p < 0.0001
khabar,Right,inderapura,13,43.72,p < 0.0001
khabar,Right,demikian,12,5.05,p < 0.05
khabar,Right,syah,11,18.37,p < 0.0001
khabar,Right,alam,11,14.32,p < 0.001
khabar,Right,seri,11,4.09,p < 0.05
khabar,Right,lagi,11,7.35,p < 0.01
khabar,Right,menyembah,10,9.48,p < 0.01
,,,,,
WORD: hatta,,,,,
hatta,Left,maka,128,0,not significant
hatta,Left,pun,121,90.58,p < 0.0001
hatta,Left,laksamana,47,8.11,p < 0.01
hatta,Left,segala,43,50.58,p < 0.0001
hatta,Left,lalu,43,88.28,p < 0.0001
hatta,Left,raja,37,8.69,p < 0.01
hatta,Left,orang,28,12.17,p < 0.001
hatta,Left,baginda,26,26.51,p < 0.0001
hatta,Left,ia,23,36.87,p < 0.0001
hatta,Left,setelah,22,0,not significant
hatta,Left,tiada,19,9.03,p < 0.01
hatta,Left,hendak,16,8.4,p < 0.01
hatta,Left,menuju,16,92.54,p < 0.0001
hatta,Left,perahu,16,42.31,p < 0.0001
hatta,Left,melaka,15,8.36,p < 0.01
hatta,Left,terlalu,14,9.76,p < 0.01
hatta,Left,hang,14,0,not significant
hatta,Left,patih,14,7.18,p < 0.01
hatta,Left,belayarlah,13,74.46,p < 0.0001
hatta,Left,betara,13,11.2,p < 0.001
hatta,Left,besar,12,26.21,p < 0.0001
hatta,Left,tuah,12,0,not significant
hatta,Left,lagi,12,15.15,p < 0.0001
hatta,Left,kita,12,0,not significant
hatta,Left,banyak,12,24.53,p < 0.0001
hatta,Left,masuk,11,12.57,p < 0.001
hatta,Left,belayar,11,41.14,p < 0.0001
hatta,Left,tun,11,0,not significant
hatta,Left,melihat,11,15.53,p < 0.0001
hatta,Left,seri,11,8.71,p < 0.01
hatta,Left,tanah,10,30.29,p < 0.0001
hatta,Left,tuanku,10,0,not significant
hatta,Left,kerana,10,0,not significant
hatta,Left,turun,9,19.58,p < 0.0001
hatta,Left,anak,9,6.26,p < 0.05
hatta,Left,datang,9,0,not significant
hatta,Left,sembah,9,0,not significant
hatta,Left,puluh,9,15.02,p < 0.001
hatta,Left,gajah,9,1.08,not significant
hatta,Left,hari,9,9.31,p < 0.01
hatta,Left,menarik,9,58.74,p < 0.0001
hatta,Left,negeri,8,2.99,not significant
